#
# This file contains the first 61158 Unicode characters. It can be used to inspect the coverage of fonts
#
\u0020 #  
\u1606 # ᘆ
\u1607 # ᘇ
\u1608 # ᘈ
\u1609 # ᘉ
\u160A # ᘊ
\u160B # ᘋ
\u160C # ᘌ
\u160D # ᘍ
\u160E # ᘎ
\u160F # ᘏ
\u1610 # ᘐ
\u1611 # ᘑ
\u1612 # ᘒ
\u1613 # ᘓ
\u1614 # ᘔ
\u1615 # ᘕ
\u1616 # ᘖ
\u1617 # ᘗ
\u1618 # ᘘ
\u1619 # ᘙ
\u161A # ᘚ
\u161B # ᘛ
\u161C # ᘜ
\u161D # ᘝ
\u161E # ᘞ
\u161F # ᘟ
\u1620 # ᘠ
\u1621 # ᘡ
\u1622 # ᘢ
\u1623 # ᘣ
\u1624 # ᘤ
\u1625 # ᘥ
\u1626 # ᘦ
\u1627 # ᘧ
\u1628 # ᘨ
\u1629 # ᘩ
\u162A # ᘪ
\u162B # ᘫ
\u162C # ᘬ
\u162D # ᘭ
\u162E # ᘮ
\u162F # ᘯ
\u1630 # ᘰ
\u1631 # ᘱ
\u1632 # ᘲ
\u1633 # ᘳ
\u1634 # ᘴ
\u1635 # ᘵ
\u1636 # ᘶ
\u1637 # ᘷ
\u1638 # ᘸ
\u1639 # ᘹ
\u163A # ᘺ
\u163B # ᘻ
\u163C # ᘼ
\u163D # ᘽ
\u163E # ᘾ
\u163F # ᘿ
\u1640 # ᙀ
\u1641 # ᙁ
\u1642 # ᙂ
\u1643 # ᙃ
\u1644 # ᙄ
\u1645 # ᙅ
\u1646 # ᙆ
\u1647 # ᙇ
\u1648 # ᙈ
\u1649 # ᙉ
\u164A # ᙊ
\u164B # ᙋ
\u164C # ᙌ
\u164D # ᙍ
\u164E # ᙎ
\u164F # ᙏ
\u1650 # ᙐ
\u1651 # ᙑ
\u1652 # ᙒ
\u1653 # ᙓ
\u1654 # ᙔ
\u1655 # ᙕ
\u1656 # ᙖ
\u1657 # ᙗ
\u1658 # ᙘ
\u1659 # ᙙ
\u165A # ᙚ
\u165B # ᙛ
\u165C # ᙜ
\u165D # ᙝ
\u165E # ᙞ
\u165F # ᙟ
\u1660 # ᙠ
\u1661 # ᙡ
\u1662 # ᙢ
\u1663 # ᙣ
\u1664 # ᙤ
\u1665 # ᙥ
\u1666 # ᙦ
\u1667 # ᙧ
\u1668 # ᙨ
\u1669 # ᙩ
\u166A # ᙪ
\u166B # ᙫ
\u166C # ᙬ
\u166D # ᙭
\u166E # ᙮
\u166F # ᙯ
\u1670 # ᙰ
\u1671 # ᙱ
\u1672 # ᙲ
\u1673 # ᙳ
\u1674 # ᙴ
\u1675 # ᙵ
\u1676 # ᙶ
\u1677 # ᙷ
\u1678 # ᙸ
\u1679 # ᙹ
\u167A # ᙺ
\u167B # ᙻ
\u167C # ᙼ
\u167D # ᙽ
\u167E # ᙾ
\u167F # ᙿ
\u1680 #  
\u1681 # ᚁ
\u1682 # ᚂ
\u1683 # ᚃ
\u1684 # ᚄ
\u1685 # ᚅ
\u1686 # ᚆ
\u1687 # ᚇ
\u1688 # ᚈ
\u1689 # ᚉ
\u168A # ᚊ
\u168B # ᚋ
\u168C # ᚌ
\u168D # ᚍ
\u168E # ᚎ
\u168F # ᚏ
\u1690 # ᚐ
\u1691 # ᚑ
\u1692 # ᚒ
\u1693 # ᚓ
\u1694 # ᚔ
\u1695 # ᚕ
\u1696 # ᚖ
\u1697 # ᚗ
\u1698 # ᚘ
\u1699 # ᚙ
\u169A # ᚚ
\u169B # ᚛
\u169C # ᚜
\u169D # ᚝
\u169E # ᚞
\u169F # ᚟
\u16A0 # ᚠ
\u16A1 # ᚡ
\u16A2 # ᚢ
\u16A3 # ᚣ
\u16A4 # ᚤ
\u16A5 # ᚥ
\u16A6 # ᚦ
\u16A7 # ᚧ
\u16A8 # ᚨ
\u16A9 # ᚩ
\u16AA # ᚪ
\u16AB # ᚫ
\u16AC # ᚬ
\u16AD # ᚭ
\u16AE # ᚮ
\u16AF # ᚯ
\u16B0 # ᚰ
\u16B1 # ᚱ
\u16B2 # ᚲ
\u16B3 # ᚳ
\u16B4 # ᚴ
\u16B5 # ᚵ
\u16B6 # ᚶ
\u16B7 # ᚷ
\u16B8 # ᚸ
\u16B9 # ᚹ
\u16BA # ᚺ
\u16BB # ᚻ
\u16BC # ᚼ
\u16BD # ᚽ
\u16BE # ᚾ
\u16BF # ᚿ
\u16C0 # ᛀ
\u16C1 # ᛁ
\u16C2 # ᛂ
\u16C3 # ᛃ
\u16C4 # ᛄ
\u16C5 # ᛅ
\u16C6 # ᛆ
\u16C7 # ᛇ
\u16C8 # ᛈ
\u16C9 # ᛉ
\u16CA # ᛊ
\u16CB # ᛋ
\u16CC # ᛌ
\u16CD # ᛍ
\u16CE # ᛎ
\u16CF # ᛏ
\u16D0 # ᛐ
\u16D1 # ᛑ
\u16D2 # ᛒ
\u16D3 # ᛓ
\u16D4 # ᛔ
\u16D5 # ᛕ
\u16D6 # ᛖ
\u16D7 # ᛗ
\u16D8 # ᛘ
\u16D9 # ᛙ
\u16DA # ᛚ
\u16DB # ᛛ
\u16DC # ᛜ
\u16DD # ᛝ
\u16DE # ᛞ
\u16DF # ᛟ
\u16E0 # ᛠ
\u16E1 # ᛡ
\u16E2 # ᛢ
\u16E3 # ᛣ
\u16E4 # ᛤ
\u16E5 # ᛥ
\u16E6 # ᛦ
\u16E7 # ᛧ
\u16E8 # ᛨ
\u16E9 # ᛩ
\u16EA # ᛪ
\u16EB # ᛫
\u16EC # ᛬
\u16ED # ᛭
\u16EE # ᛮ
\u16EF # ᛯ
\u16F0 # ᛰ
\u16F1 # ᛱ
\u16F2 # ᛲ
\u16F3 # ᛳ
\u16F4 # ᛴ
\u16F5 # ᛵ
\u16F6 # ᛶ
\u16F7 # ᛷ
\u16F8 # ᛸ
\u16F9 # ᛹
\u16FA # ᛺
\u16FB # ᛻
\u16FC # ᛼
\u16FD # ᛽
\u16FE # ᛾
\u16FF # ᛿
\u1700 # ᜀ
\u1701 # ᜁ
\u1702 # ᜂ
\u1703 # ᜃ
\u1704 # ᜄ
\u1705 # ᜅ
\u1706 # ᜆ
\u1707 # ᜇ
\u1708 # ᜈ
\u1709 # ᜉ
\u170A # ᜊ
\u170B # ᜋ
\u170C # ᜌ
\u170D # ᜍ
\u170E # ᜎ
\u170F # ᜏ
\u1710 # ᜐ
\u1711 # ᜑ
\u1712 # ᜒ
\u1713 # ᜓ
\u1714 # ᜔
\u1715 # ᜕
\u1716 # ᜖
\u1717 # ᜗
\u1718 # ᜘
\u1719 # ᜙
\u171A # ᜚
\u171B # ᜛
\u171C # ᜜
\u171D # ᜝
\u171E # ᜞
\u171F # ᜟ
\u1720 # ᜠ
\u1721 # ᜡ
\u1722 # ᜢ
\u1723 # ᜣ
\u1724 # ᜤ
\u1725 # ᜥ
\u1726 # ᜦ
\u1727 # ᜧ
\u1728 # ᜨ
\u1729 # ᜩ
\u172A # ᜪ
\u172B # ᜫ
\u172C # ᜬ
\u172D # ᜭ
\u172E # ᜮ
\u172F # ᜯ
\u1730 # ᜰ
\u1731 # ᜱ
\u1732 # ᜲ
\u1733 # ᜳ
\u1734 # ᜴
\u1735 # ᜵
\u1736 # ᜶
\u1737 # ᜷
\u1738 # ᜸
\u1739 # ᜹
\u173A # ᜺
\u173B # ᜻
\u173C # ᜼
\u173D # ᜽
\u173E # ᜾
\u173F # ᜿
\u1740 # ᝀ
\u1741 # ᝁ
\u1742 # ᝂ
\u1743 # ᝃ
\u1744 # ᝄ
\u1745 # ᝅ
\u1746 # ᝆ
\u1747 # ᝇ
\u1748 # ᝈ
\u1749 # ᝉ
\u174A # ᝊ
\u174B # ᝋ
\u174C # ᝌ
\u174D # ᝍ
\u174E # ᝎ
\u174F # ᝏ
\u1750 # ᝐ
\u1751 # ᝑ
\u1752 # ᝒ
\u1753 # ᝓ
\u1754 # ᝔
\u1755 # ᝕
\u1756 # ᝖
\u1757 # ᝗
\u1758 # ᝘
\u1759 # ᝙
\u175A # ᝚
\u175B # ᝛
\u175C # ᝜
\u175D # ᝝
\u175E # ᝞
\u175F # ᝟
\u1760 # ᝠ
\u1761 # ᝡ
\u1762 # ᝢ
\u1763 # ᝣ
\u1764 # ᝤ
\u1765 # ᝥ
\u1766 # ᝦ
\u1767 # ᝧ
\u1768 # ᝨ
\u1769 # ᝩ
\u176A # ᝪ
\u176B # ᝫ
\u176C # ᝬ
\u176D # ᝭
\u176E # ᝮ
\u176F # ᝯ
\u1770 # ᝰ
\u1771 # ᝱
\u1772 # ᝲ
\u1773 # ᝳ
\u1774 # ᝴
\u1775 # ᝵
\u1776 # ᝶
\u1777 # ᝷
\u1778 # ᝸
\u1779 # ᝹
\u177A # ᝺
\u177B # ᝻
\u177C # ᝼
\u177D # ᝽
\u177E # ᝾
\u177F # ᝿
\u1780 # ក
\u1781 # ខ
\u1782 # គ
\u1783 # ឃ
\u1784 # ង
\u1785 # ច
\u1786 # ឆ
\u1787 # ជ
\u1788 # ឈ
\u1789 # ញ
\u178A # ដ
\u178B # ឋ
\u178C # ឌ
\u178D # ឍ
\u178E # ណ
\u178F # ត
\u1790 # ថ
\u1791 # ទ
\u1792 # ធ
\u1793 # ន
\u1794 # ប
\u1795 # ផ
\u1796 # ព
\u1797 # ភ
\u1798 # ម
\u1799 # យ
\u179A # រ
\u179B # ល
\u179C # វ
\u179D # ឝ
\u179E # ឞ
\u179F # ស
\u17A0 # ហ
\u17A1 # ឡ
\u17A2 # អ
\u17A3 # ឣ
\u17A4 # ឤ
\u17A5 # ឥ
\u17A6 # ឦ
\u17A7 # ឧ
\u17A8 # ឨ
\u17A9 # ឩ
\u17AA # ឪ
\u17AB # ឫ
\u17AC # ឬ
\u17AD # ឭ
\u17AE # ឮ
\u17AF # ឯ
\u17B0 # ឰ
\u17B1 # ឱ
\u17B2 # ឲ
\u17B3 # ឳ
\u17B4 # ឴
\u17B5 # ឵
\u17B6 # ា
\u17B7 # ិ
\u17B8 # ី
\u17B9 # ឹ
\u17BA # ឺ
\u17BB # ុ
\u17BC # ូ
\u17BD # ួ
\u17BE # ើ
\u17BF # ឿ
\u17C0 # ៀ
\u17C1 # េ
\u17C2 # ែ
\u17C3 # ៃ
\u17C4 # ោ
\u17C5 # ៅ
\u17C6 # ំ
\u17C7 # ះ
\u17C8 # ៈ
\u17C9 # ៉
\u17CA # ៊
\u17CB # ់
\u17CC # ៌
\u17CD # ៍
\u17CE # ៎
\u17CF # ៏
\u17D0 # ័
\u17D1 # ៑
\u17D2 # ្
\u17D3 # ៓
\u17D4 # ។
\u17D5 # ៕
\u17D6 # ៖
\u17D7 # ៗ
\u17D8 # ៘
\u17D9 # ៙
\u17DA # ៚
\u17DB # ៛
\u17DC # ៜ
\u17DD # ៝
\u17DE # ៞
\u17DF # ៟
\u17E0 # ០
\u17E1 # ១
\u17E2 # ២
\u17E3 # ៣
\u17E4 # ៤
\u17E5 # ៥
\u17E6 # ៦
\u17E7 # ៧
\u17E8 # ៨
\u17E9 # ៩
\u17EA # ៪
\u17EB # ៫
\u17EC # ៬
\u17ED # ៭
\u17EE # ៮
\u17EF # ៯
\u17F0 # ៰
\u17F1 # ៱
\u17F2 # ៲
\u17F3 # ៳
\u17F4 # ៴
\u17F5 # ៵
\u17F6 # ៶
\u17F7 # ៷
\u17F8 # ៸
\u17F9 # ៹
\u17FA # ៺
\u17FB # ៻
\u17FC # ៼
\u17FD # ៽
\u17FE # ៾
\u17FF # ៿
\u1800 # ᠀
\u1801 # ᠁
\u1802 # ᠂
\u1803 # ᠃
\u1804 # ᠄
\u1805 # ᠅
\u1806 # ᠆
\u1807 # ᠇
\u1808 # ᠈
\u1809 # ᠉
\u180A # ᠊
\u180B # ᠋
\u180C # ᠌
\u180D # ᠍
\u180E # ᠎
\u180F # ᠏
\u1810 # ᠐
\u1811 # ᠑
\u1812 # ᠒
\u1813 # ᠓
\u1814 # ᠔
\u1815 # ᠕
\u1816 # ᠖
\u1817 # ᠗
\u1818 # ᠘
\u1819 # ᠙
\u181A # ᠚
\u181B # ᠛
\u181C # ᠜
\u181D # ᠝
\u181E # ᠞
\u181F # ᠟
\u1820 # ᠠ
\u1821 # ᠡ
\u1822 # ᠢ
\u1823 # ᠣ
\u1824 # ᠤ
\u1825 # ᠥ
\u1826 # ᠦ
\u1827 # ᠧ
\u1828 # ᠨ
\u1829 # ᠩ
\u182A # ᠪ
\u182B # ᠫ
\u182C # ᠬ
\u182D # ᠭ
\u182E # ᠮ
\u182F # ᠯ
\u1830 # ᠰ
\u1831 # ᠱ
\u1832 # ᠲ
\u1833 # ᠳ
\u1834 # ᠴ
\u1835 # ᠵ
\u1836 # ᠶ
\u1837 # ᠷ
\u1838 # ᠸ
\u1839 # ᠹ
\u183A # ᠺ
\u183B # ᠻ
\u183C # ᠼ
\u183D # ᠽ
\u183E # ᠾ
\u183F # ᠿ
\u1840 # ᡀ
\u1841 # ᡁ
\u1842 # ᡂ
\u1843 # ᡃ
\u1844 # ᡄ
\u1845 # ᡅ
\u1846 # ᡆ
\u1847 # ᡇ
\u1848 # ᡈ
\u1849 # ᡉ
\u184A # ᡊ
\u184B # ᡋ
\u184C # ᡌ
\u184D # ᡍ
\u184E # ᡎ
\u184F # ᡏ
\u1850 # ᡐ
\u1851 # ᡑ
\u1852 # ᡒ
\u1853 # ᡓ
\u1854 # ᡔ
\u1855 # ᡕ
\u1856 # ᡖ
\u1857 # ᡗ
\u1858 # ᡘ
\u1859 # ᡙ
\u185A # ᡚ
\u185B # ᡛ
\u185C # ᡜ
\u185D # ᡝ
\u185E # ᡞ
\u185F # ᡟ
\u1860 # ᡠ
\u1861 # ᡡ
\u1862 # ᡢ
\u1863 # ᡣ
\u1864 # ᡤ
\u1865 # ᡥ
\u1866 # ᡦ
\u1867 # ᡧ
\u1868 # ᡨ
\u1869 # ᡩ
\u186A # ᡪ
\u186B # ᡫ
\u186C # ᡬ
\u186D # ᡭ
\u186E # ᡮ
\u186F # ᡯ
\u1870 # ᡰ
\u1871 # ᡱ
\u1872 # ᡲ
\u1873 # ᡳ
\u1874 # ᡴ
\u1875 # ᡵ
\u1876 # ᡶ
\u1877 # ᡷ
\u1878 # ᡸ
\u1879 # ᡹
\u187A # ᡺
\u187B # ᡻
\u187C # ᡼
\u187D # ᡽
\u187E # ᡾
\u187F # ᡿
\u1880 # ᢀ
\u1881 # ᢁ
\u1882 # ᢂ
\u1883 # ᢃ
\u1884 # ᢄ
\u1885 # ᢅ
\u1886 # ᢆ
\u1887 # ᢇ
\u1888 # ᢈ
\u1889 # ᢉ
\u188A # ᢊ
\u188B # ᢋ
\u188C # ᢌ
\u188D # ᢍ
\u188E # ᢎ
\u188F # ᢏ
\u1890 # ᢐ
\u1891 # ᢑ
\u1892 # ᢒ
\u1893 # ᢓ
\u1894 # ᢔ
\u1895 # ᢕ
\u1896 # ᢖ
\u1897 # ᢗ
\u1898 # ᢘ
\u1899 # ᢙ
\u189A # ᢚ
\u189B # ᢛ
\u189C # ᢜ
\u189D # ᢝ
\u189E # ᢞ
\u189F # ᢟ
\u18A0 # ᢠ
\u18A1 # ᢡ
\u18A2 # ᢢ
\u18A3 # ᢣ
\u18A4 # ᢤ
\u18A5 # ᢥ
\u18A6 # ᢦ
\u18A7 # ᢧ
\u18A8 # ᢨ
\u18A9 # ᢩ
\u18AA # ᢪ
\u18AB # ᢫
\u18AC # ᢬
\u18AD # ᢭
\u18AE # ᢮
\u18AF # ᢯
\u18B0 # ᢰ
\u18B1 # ᢱ
\u18B2 # ᢲ
\u18B3 # ᢳ
\u18B4 # ᢴ
\u18B5 # ᢵ
\u18B6 # ᢶ
\u18B7 # ᢷ
\u18B8 # ᢸ
\u18B9 # ᢹ
\u18BA # ᢺ
\u18BB # ᢻ
\u18BC # ᢼ
\u18BD # ᢽ
\u18BE # ᢾ
\u18BF # ᢿ
\u18C0 # ᣀ
\u18C1 # ᣁ
\u18C2 # ᣂ
\u18C3 # ᣃ
\u18C4 # ᣄ
\u18C5 # ᣅ
\u18C6 # ᣆ
\u18C7 # ᣇ
\u18C8 # ᣈ
\u18C9 # ᣉ
\u18CA # ᣊ
\u18CB # ᣋ
\u18CC # ᣌ
\u18CD # ᣍ
\u18CE # ᣎ
\u18CF # ᣏ
\u18D0 # ᣐ
\u18D1 # ᣑ
\u18D2 # ᣒ
\u18D3 # ᣓ
\u18D4 # ᣔ
\u18D5 # ᣕ
\u18D6 # ᣖ
\u18D7 # ᣗ
\u18D8 # ᣘ
\u18D9 # ᣙ
\u18DA # ᣚ
\u18DB # ᣛ
\u18DC # ᣜ
\u18DD # ᣝ
\u18DE # ᣞ
\u18DF # ᣟ
\u18E0 # ᣠ
\u18E1 # ᣡ
\u18E2 # ᣢ
\u18E3 # ᣣ
\u18E4 # ᣤ
\u18E5 # ᣥ
\u18E6 # ᣦ
\u18E7 # ᣧ
\u18E8 # ᣨ
\u18E9 # ᣩ
\u18EA # ᣪ
\u18EB # ᣫ
\u18EC # ᣬ
\u18ED # ᣭ
\u18EE # ᣮ
\u18EF # ᣯ
\u18F0 # ᣰ
\u18F1 # ᣱ
\u18F2 # ᣲ
\u18F3 # ᣳ
\u18F4 # ᣴ
\u18F5 # ᣵ
\u18F6 # ᣶
\u18F7 # ᣷
\u18F8 # ᣸
\u18F9 # ᣹
\u18FA # ᣺
\u18FB # ᣻
\u18FC # ᣼
\u18FD # ᣽
\u18FE # ᣾
\u18FF # ᣿
\u1900 # ᤀ
\u1901 # ᤁ
\u1902 # ᤂ
\u1903 # ᤃ
\u1904 # ᤄ
\u1905 # ᤅ
\u1906 # ᤆ
\u1907 # ᤇ
\u1908 # ᤈ
\u1909 # ᤉ
\u190A # ᤊ
\u190B # ᤋ
\u190C # ᤌ
\u190D # ᤍ
\u190E # ᤎ
\u190F # ᤏ
\u1910 # ᤐ
\u1911 # ᤑ
\u1912 # ᤒ
\u1913 # ᤓ
\u1914 # ᤔ
\u1915 # ᤕ
\u1916 # ᤖ
\u1917 # ᤗ
\u1918 # ᤘ
\u1919 # ᤙ
\u191A # ᤚ
\u191B # ᤛ
\u191C # ᤜ
\u191D # ᤝ
\u191E # ᤞ
\u191F # ᤟
\u1920 # ᤠ
\u1921 # ᤡ
\u1922 # ᤢ
\u1923 # ᤣ
\u1924 # ᤤ
\u1925 # ᤥ
\u1926 # ᤦ
\u1927 # ᤧ
\u1928 # ᤨ
\u1929 # ᤩ
\u192A # ᤪ
\u192B # ᤫ
\u192C # ᤬
\u192D # ᤭
\u192E # ᤮
\u192F # ᤯
\u1930 # ᤰ
\u1931 # ᤱ
\u1932 # ᤲ
\u1933 # ᤳ
\u1934 # ᤴ
\u1935 # ᤵ
\u1936 # ᤶ
\u1937 # ᤷ
\u1938 # ᤸ
\u1939 # ᤹
\u193A # ᤺
\u193B # ᤻
\u193C # ᤼
\u193D # ᤽
\u193E # ᤾
\u193F # ᤿
\u1940 # ᥀
\u1941 # ᥁
\u1942 # ᥂
\u1943 # ᥃
\u1944 # ᥄
\u1945 # ᥅
\u1946 # ᥆
\u1947 # ᥇
\u1948 # ᥈
\u1949 # ᥉
\u194A # ᥊
\u194B # ᥋
\u194C # ᥌
\u194D # ᥍
\u194E # ᥎
\u194F # ᥏
\u1950 # ᥐ
\u1951 # ᥑ
\u1952 # ᥒ
\u1953 # ᥓ
\u1954 # ᥔ
\u1955 # ᥕ
\u1956 # ᥖ
\u1957 # ᥗ
\u1958 # ᥘ
\u1959 # ᥙ
\u195A # ᥚ
\u195B # ᥛ
\u195C # ᥜ
\u195D # ᥝ
\u195E # ᥞ
\u195F # ᥟ
\u1960 # ᥠ
\u1961 # ᥡ
\u1962 # ᥢ
\u1963 # ᥣ
\u1964 # ᥤ
\u1965 # ᥥ
\u1966 # ᥦ
\u1967 # ᥧ
\u1968 # ᥨ
\u1969 # ᥩ
\u196A # ᥪ
\u196B # ᥫ
\u196C # ᥬ
\u196D # ᥭ
\u196E # ᥮
\u196F # ᥯
\u1970 # ᥰ
\u1971 # ᥱ
\u1972 # ᥲ
\u1973 # ᥳ
\u1974 # ᥴ
\u1975 # ᥵
\u1976 # ᥶
\u1977 # ᥷
\u1978 # ᥸
\u1979 # ᥹
\u197A # ᥺
\u197B # ᥻
\u197C # ᥼
\u197D # ᥽
\u197E # ᥾
\u197F # ᥿
\u1980 # ᦀ
\u1981 # ᦁ
\u1982 # ᦂ
\u1983 # ᦃ
\u1984 # ᦄ
\u1985 # ᦅ
\u1986 # ᦆ
\u1987 # ᦇ
\u1988 # ᦈ
\u1989 # ᦉ
\u198A # ᦊ
\u198B # ᦋ
\u198C # ᦌ
\u198D # ᦍ
\u198E # ᦎ
\u198F # ᦏ
\u1990 # ᦐ
\u1991 # ᦑ
\u1992 # ᦒ
\u1993 # ᦓ
\u1994 # ᦔ
\u1995 # ᦕ
\u1996 # ᦖ
\u1997 # ᦗ
\u1998 # ᦘ
\u1999 # ᦙ
\u199A # ᦚ
\u199B # ᦛ
\u199C # ᦜ
\u199D # ᦝ
\u199E # ᦞ
\u199F # ᦟ
\u19A0 # ᦠ
\u19A1 # ᦡ
\u19A2 # ᦢ
\u19A3 # ᦣ
\u19A4 # ᦤ
\u19A5 # ᦥ
\u19A6 # ᦦ
\u19A7 # ᦧ
\u19A8 # ᦨ
\u19A9 # ᦩ
\u19AA # ᦪ
\u19AB # ᦫ
\u19AC # ᦬
\u19AD # ᦭
\u19AE # ᦮
\u19AF # ᦯
\u19B0 # ᦰ
\u19B1 # ᦱ
\u19B2 # ᦲ
\u19B3 # ᦳ
\u19B4 # ᦴ
\u19B5 # ᦵ
\u19B6 # ᦶ
\u19B7 # ᦷ
\u19B8 # ᦸ
\u19B9 # ᦹ
\u19BA # ᦺ
\u19BB # ᦻ
\u19BC # ᦼ
\u19BD # ᦽ
\u19BE # ᦾ
\u19BF # ᦿ
\u19C0 # ᧀ
\u19C1 # ᧁ
\u19C2 # ᧂ
\u19C3 # ᧃ
\u19C4 # ᧄ
\u19C5 # ᧅ
\u19C6 # ᧆ
\u19C7 # ᧇ
\u19C8 # ᧈ
\u19C9 # ᧉ
\u19CA # ᧊
\u19CB # ᧋
\u19CC # ᧌
\u19CD # ᧍
\u19CE # ᧎
\u19CF # ᧏
\u19D0 # ᧐
\u19D1 # ᧑
\u19D2 # ᧒
\u19D3 # ᧓
\u19D4 # ᧔
\u19D5 # ᧕
\u19D6 # ᧖
\u19D7 # ᧗
\u19D8 # ᧘
\u19D9 # ᧙
\u19DA # ᧚
\u19DB # ᧛
\u19DC # ᧜
\u19DD # ᧝
\u19DE # ᧞
\u19DF # ᧟
\u19E0 # ᧠
\u19E1 # ᧡
\u19E2 # ᧢
\u19E3 # ᧣
\u19E4 # ᧤
\u19E5 # ᧥
\u19E6 # ᧦
\u19E7 # ᧧
\u19E8 # ᧨
\u19E9 # ᧩
\u19EA # ᧪
\u19EB # ᧫
\u19EC # ᧬
\u19ED # ᧭
\u19EE # ᧮
\u19EF # ᧯
\u19F0 # ᧰
\u19F1 # ᧱
\u19F2 # ᧲
\u19F3 # ᧳
\u19F4 # ᧴
\u19F5 # ᧵
\u19F6 # ᧶
\u19F7 # ᧷
\u19F8 # ᧸
\u19F9 # ᧹
\u19FA # ᧺
\u19FB # ᧻
\u19FC # ᧼
\u19FD # ᧽
\u19FE # ᧾
\u19FF # ᧿
\u1A00 # ᨀ
\u1A01 # ᨁ
\u1A02 # ᨂ
\u1A03 # ᨃ
\u1A04 # ᨄ
\u1A05 # ᨅ
\u1A06 # ᨆ
\u1A07 # ᨇ
\u1A08 # ᨈ
\u1A09 # ᨉ
\u1A0A # ᨊ
\u1A0B # ᨋ
\u1A0C # ᨌ
\u1A0D # ᨍ
\u1A0E # ᨎ
\u1A0F # ᨏ
\u1A10 # ᨐ
\u1A11 # ᨑ
\u1A12 # ᨒ
\u1A13 # ᨓ
\u1A14 # ᨔ
\u1A15 # ᨕ
\u1A16 # ᨖ
\u1A17 # ᨗ
\u1A18 # ᨘ
\u1A19 # ᨙ
\u1A1A # ᨚ
\u1A1B # ᨛ
\u1A1C # ᨜
\u1A1D # ᨝
\u1A1E # ᨞
\u1A1F # ᨟
\u1A20 # ᨠ
\u1A21 # ᨡ
\u1A22 # ᨢ
\u1A23 # ᨣ
\u1A24 # ᨤ
\u1A25 # ᨥ
\u1A26 # ᨦ
\u1A27 # ᨧ
\u1A28 # ᨨ
\u1A29 # ᨩ
\u1A2A # ᨪ
\u1A2B # ᨫ
\u1A2C # ᨬ
\u1A2D # ᨭ
\u1A2E # ᨮ
\u1A2F # ᨯ
\u1A30 # ᨰ
\u1A31 # ᨱ
\u1A32 # ᨲ
\u1A33 # ᨳ
\u1A34 # ᨴ
\u1A35 # ᨵ
\u1A36 # ᨶ
\u1A37 # ᨷ
\u1A38 # ᨸ
\u1A39 # ᨹ
\u1A3A # ᨺ
\u1A3B # ᨻ
\u1A3C # ᨼ
\u1A3D # ᨽ
\u1A3E # ᨾ
\u1A3F # ᨿ
\u1A40 # ᩀ
\u1A41 # ᩁ
\u1A42 # ᩂ
\u1A43 # ᩃ
\u1A44 # ᩄ
\u1A45 # ᩅ
\u1A46 # ᩆ
\u1A47 # ᩇ
\u1A48 # ᩈ
\u1A49 # ᩉ
\u1A4A # ᩊ
\u1A4B # ᩋ
\u1A4C # ᩌ
\u1A4D # ᩍ
\u1A4E # ᩎ
\u1A4F # ᩏ
\u1A50 # ᩐ
\u1A51 # ᩑ
\u1A52 # ᩒ
\u1A53 # ᩓ
\u1A54 # ᩔ
\u1A55 # ᩕ
\u1A56 # ᩖ
\u1A57 # ᩗ
\u1A58 # ᩘ
\u1A59 # ᩙ
\u1A5A # ᩚ
\u1A5B # ᩛ
\u1A5C # ᩜ
\u1A5D # ᩝ
\u1A5E # ᩞ
\u1A5F # ᩟
\u1A60 # ᩠
\u1A61 # ᩡ
\u1A62 # ᩢ
\u1A63 # ᩣ
\u1A64 # ᩤ
\u1A65 # ᩥ
\u1A66 # ᩦ
\u1A67 # ᩧ
\u1A68 # ᩨ
\u1A69 # ᩩ
\u1A6A # ᩪ
\u1A6B # ᩫ
\u1A6C # ᩬ
\u1A6D # ᩭ
\u1A6E # ᩮ
\u1A6F # ᩯ
\u1A70 # ᩰ
\u1A71 # ᩱ
\u1A72 # ᩲ
\u1A73 # ᩳ
\u1A74 # ᩴ
\u1A75 # ᩵
\u1A76 # ᩶
\u1A77 # ᩷
\u1A78 # ᩸
\u1A79 # ᩹
\u1A7A # ᩺
\u1A7B # ᩻
\u1A7C # ᩼
\u1A7D # ᩽
\u1A7E # ᩾
\u1A7F # ᩿
\u1A80 # ᪀
\u1A81 # ᪁
\u1A82 # ᪂
\u1A83 # ᪃
\u1A84 # ᪄
\u1A85 # ᪅
\u1A86 # ᪆
\u1A87 # ᪇
\u1A88 # ᪈
\u1A89 # ᪉
\u1A8A # ᪊
\u1A8B # ᪋
\u1A8C # ᪌
\u1A8D # ᪍
\u1A8E # ᪎
\u1A8F # ᪏
\u1A90 # ᪐
\u1A91 # ᪑
\u1A92 # ᪒
\u1A93 # ᪓
\u1A94 # ᪔
\u1A95 # ᪕
\u1A96 # ᪖
\u1A97 # ᪗
\u1A98 # ᪘
\u1A99 # ᪙
\u1A9A # ᪚
\u1A9B # ᪛
\u1A9C # ᪜
\u1A9D # ᪝
\u1A9E # ᪞
\u1A9F # ᪟
\u1AA0 # ᪠
\u1AA1 # ᪡
\u1AA2 # ᪢
\u1AA3 # ᪣
\u1AA4 # ᪤
\u1AA5 # ᪥
\u1AA6 # ᪦
\u1AA7 # ᪧ
\u1AA8 # ᪨
\u1AA9 # ᪩
\u1AAA # ᪪
\u1AAB # ᪫
\u1AAC # ᪬
